game,game2,date,date2,series, series,series_game,Lebron s_g,team,Lebron t,opp,Lebron opp,result,Lebron r,mp,Lebron mp,fg,Lebron fg,fga,Lebron fga,fgp,Lebron fgp,three,Lebron 3,threeatt,Lebron 3att,threep,Lebron 3p,ft,Lebron ft,fta,Lebron fta,ftp,Lebron ftp,orb,Lebron orb,drb,Lebron drb,trb,Lebron trb,ast,Lebron ast,stl,Lebron stl,blk,Lebron blk,tov,Lebron tov,pts,Lebron pts,game_score,Lebron g_s,plus_minus,Lebron p_m
1,1,4/28/1988,4/22/2006,EC1,EC1,1,1,CHI,CLE,CLE,WAS,W (+11),W (+11),44,48,19,12,35,27,0.543,0.444,0,1,0,4,,0.25,12,7,12,11,1,0.636,1,3,6,8,7,11,2,11,2,0,2,0,5,4,50,32,34.2,23.3,,11
2,2,5/1/1988,4/25/2006,EC1,EC1,2,2,CHI,CLE,CLE,WAS,W (+5),L (-5),44,43,24,7,45,25,0.533,0.364,0,0,0,3,,0,7,11,7,13,1,0.846,3,4,3,4,6,8,3,7,4,1,1,2,1,2,55,27,40.3,22.5,,12
3,3,5/3/1988,4/28/2006,EC1,EC1,3,3,CHI,CLE,CLE,WAS,L (-8),W (+1),44,48,12,16,25,28,0.48,0.5,0,3,0,5,,0.6,14,5,15,7,0.933,0.714,2,0,3,6,5,6,9,9,2,1,1,0,4,2,38,30,30.2,24.1,,6
4,4,5/5/1988,4/30/2006,EC1,EC1,4,4,CHI,CLE,CLE,WAS,L (-6),L (-10),42,45,18,13,25,23,0.72,0.647,0,6,0,9,,0.667,8,9,9,10,0.889,0.9,2,0,3,12,5,12,4,11,4,2,2,1,4,2,44,37,37.4,39.9,,29
5,5,5/8/1988,5/3/2006,EC1,EC1,5,5,CHI,CLE,CLE,WAS,W (+6),W (+1),43,46,12,14,22,23,0.545,0.438,0,2,0,6,,0.333,15,13,18,15,0.833,0.867,1,1,3,7,4,8,6,7,2,2,2,1,7,4,39,29,27.8,25.4,,6
6,6,5/10/1988,5/5/2006,ECS,EC1,1,6,CHI,CLE,DET,WAS,L (-11),W (+1),40,53,10,15,22,25,0.455,0.462,0,0,1,3,0,0,9,8,10,10,0.9,0.8,5,6,6,9,11,15,6,5,0,2,1,1,5,1,29,32,20.8,29.5,,12
7,7,5/12/1988,5/7/2006,ECS,ECS,2,1,CHI,CLE,DET,DET,W (+10),L (-27),44,36,14,9,22,18,0.636,0.455,0,0,0,4,,0,8,8,10,13,0.8,0.615,4,4,7,5,11,9,1,5,1,6,1,0,2,2,36,28,28.7,26.4,,-7
8,8,5/14/1988,5/9/2006,ECS,ECS,3,2,CHI,CLE,DET,DET,L (-22),L (-6),38,48,8,11,20,23,0.4,0.455,0,1,0,4,,0.25,8,1,9,3,0.889,0.333,1,1,6,6,7,7,3,3,1,2,1,0,5,4,24,22,12.9,12,,-9
9,9,5/15/1988,5/13/2006,ECS,ECS,4,3,CHI,CLE,DET,DET,L (-19),W (+9),45,48,11,9,22,18,0.5,0.519,0,0,0,0,,0,1,12,2,16,0.5,0.75,2,6,5,12,7,18,5,9,6,2,0,2,3,5,23,40,21,37.2,,4
10,10,5/18/1988,5/15/2006,ECS,ECS,5,4,CHI,CLE,DET,DET,L (-7),W (+2),43,48,10,8,22,23,0.455,0.632,1,2,2,4,0.5,0.5,4,4,7,4,0.571,1,2,3,6,7,8,10,8,8,2,1,0,1,3,4,25,30,18.6,28.6,,28
